t,o,h,l,Price,v,RSI,MACD,MACD Signal,5d_ma,200d_ma,invested_capital_movement,Invested Capital,buy,sell,available_capital,quantities,stop_loss,position_size,gross_profit,gross_loss,Portfolio worth
2015-11-18,35.5,36.049999,35.5,34.673004,9400,59.01101580865521,0.3002575874265361,0.4476387721397389,34.087583000000016,32.985335044999985,0,27400.0,False,False,2913.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,36130.281133000004
2015-11-19,36.060001,36.23,36.02,34.778923,13000,61.055817758109896,0.31385208006859244,0.4208814337255097,34.18964680000001,33.00295561999999,0,27400.0,False,False,2913.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,36231.751535
2015-11-20,36.380001,36.380001,36.209998999999996,34.923355,16500,63.890128712907625,0.3324480149868023,0.4031947499777682,34.46695320000002,33.02129835499999,0,27400.0,False,False,2913.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,36370.11739100001
2015-11-23,36.349998,36.43,36.099998,34.865582,13100,61.8137831585576,0.338620225934271,0.39027984516906883,34.64219520000002,33.03795603499999,200,27600.0,False,False,3113.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,36514.77085700001
2015-11-24,35.900002,36.23,35.77,34.79818,18200,59.222880100906565,0.33422028606764087,0.3790679333487833,34.80780880000002,33.05538398499999,0,27600.0,False,False,3113.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,36450.199741000004
2015-11-25,36.349998,36.349998,36.16,34.855953,9600,60.84596919854734,0.3315729339092641,0.3695689334608795,34.84439860000002,33.07353411499999,0,27600.0,False,False,3113.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,36505.54627500001
2015-11-26,36.360001000000004,36.360001000000004,36.209998999999996,34.961872,2200,63.88677667704021,0.33416956758678396,0.36248906028606037,34.88098840000002,33.089565939999986,0,27600.0,False,False,3113.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,36607.01667700001
2015-11-27,36.459998999999996,36.459998999999996,36.200001,34.981128999999996,6700,64.46570240054935,0.3339319379314247,0.3567776358151333,34.89254320000001,33.10521260999999,0,27600.0,False,False,3113.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,36625.464883
2015-11-30,36.490002000000004,36.490002000000004,36.040001000000004,34.817436,6800,55.706721528789224,0.31688213762672035,0.3487985361774507,34.88291400000001,33.11835578499999,0,27600.0,False,False,3113.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,36468.64698900001
2015-12-01,36.360001000000004,36.48,36.290001000000004,35.125557,17500,65.7992428763234,0.32449229251476197,0.343937287444913,34.94838940000001,33.13173968999999,0,27600.0,False,False,3113.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,36763.826907
2015-12-02,36.41,36.700001,36.27,34.923355,15400,56.1171449211153,0.3106266726405451,0.33727516448403944,34.96186980000001,33.14420888499999,0,27600.0,False,False,3113.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,36570.11739100001
2015-12-03,36.540001000000004,36.540001000000004,35.5,34.336002,21100,37.58216780298639,0.24936901977452663,0.3196939355421369,34.836695800000015,33.15321173999999,0,27600.0,False,False,3113.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,36007.433217000005
2015-12-04,35.66,36.529999,35.66,35.154441999999996,86900,59.23189974265952,0.26382198097893195,0.3085195446294959,34.871358400000005,33.16553647499999,0,27600.0,False,False,3113.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,36791.498737
2015-12-07,36.419998,36.509997999999996,36.189999,35.019642,106500,55.5689814524655,0.261385731427076,0.2990927819890119,34.91179960000001,33.17612805999999,200,27800.0,False,False,3313.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,36862.360337000006
2015-12-08,36.099998,36.439999,35.93,35.048534000000004,19600,56.23825220799104,0.258803009055363,0.29103482740228215,34.896395000000005,33.186960404999994,0,27800.0,False,False,3313.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,36890.03887300001
2015-12-09,36.400002,36.400002,35.599998,34.413036,29700,40.684658687322965,0.20313518943017783,0.2734548998078613,34.79433120000001,33.19423010999999,0,27800.0,False,False,3313.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,36281.231789000005
2015-12-10,35.830002,36.099998,35.810001,34.557465,13500,44.69560370460788,0.16872727161067047,0.2525093741684232,34.83862380000001,33.20260710999999,0,27800.0,False,False,3313.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,36419.594771000004
2015-12-11,35.880001,35.880001,35.09,33.78717,26200,31.56176799794774,0.07839864914113548,0.21768722916296565,34.565169400000016,33.20612158999999,0,27800.0,False,False,3313.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,35681.65216100001
2015-12-14,35.029999,35.27,34.689999,33.950855,14500,36.161269097734426,0.019792421859975207,0.17810826770236757,34.35141200000001,33.21132111499999,0,27800.0,False,False,3313.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,35838.462391
2015-12-15,35.709998999999996,35.889998999999996,35.57,34.297484999999995,36700,45.165934200561935,0.0013017033706290704,0.14274695483601987,34.20120220000001,33.216665044999985,0,27800.0,False,False,3313.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,36170.533931
2015-12-16,35.84,36.18,35.599998,34.778923,17000,55.2758500618719,0.02520514953002362,0.11923859377482063,34.27437960000001,33.22518646999998,0,27800.0,False,False,3313.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,36631.751535
2015-12-17,36.380001,36.380001,35.599998,34.278228999999996,64300,45.261817312001035,0.0037042808568443775,0.09613173119122538,34.21853240000001,33.23183025999998,0,27800.0,False,False,3313.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,36152.086683
2015-12-18,35.779999,35.779999,34.93,33.633106,19900,35.657917890704155,-0.0646461465179442,0.06397615564939146,34.18771960000001,33.235007709999984,0,27800.0,False,False,3313.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,35534.05884900001
2015-12-21,35.389998999999996,35.389998999999996,35.0,33.979744000000004,19300,43.138196857928854,-0.08980830874585166,0.03321926277034284,34.19349740000001,33.24213295499999,200,28000.0,False,False,3513.5433010000056,0.0,340.5402448499999,30172.496278,0.0,0.0,36066.13805300001
